percentile,cutoff,no_of_fraud,fraud_money_value,total_amount,percent_fraud,u_2fa
0.75,0.028719786554574966,3318,486713.104000001,16243432.18199058,0.8164370078740157,26209
0.76,0.029842940568923955,3290,482501.0700000003,16243432.18199058,0.8095472440944882,25056
0.77,0.03109977155923843,3265,477613.33500000037,16243432.18199058,0.8033956692913385,23900
0.78,0.032596614658832554,3228,471571.59500000026,16243432.18199058,0.7942913385826772,22756
0.79,0.03398480132222175,3204,466920.5500000001,16243432.18199058,0.7883858267716536,21599
0.8,0.035483431816101085,3163,460333.2719999997,16243432.18199058,0.7782972440944882,20459
0.81,0.03733429417014126,3129,451464.31499999977,16243432.18199058,0.7699311023622047,19312
0.82,0.03919303327798841,3096,444133.96699999995,16243432.18199058,0.7618110236220472,18164
0.83,0.04142720565199851,3062,438417.56399999995,16243432.18199058,0.7534448818897638,17017
0.84,0.043816879391670206,3018,431178.19299999956,16243432.18199058,0.7426181102362205,15880
0.85,0.0465647242963314,2982,422111.9579999996,16243432.18199058,0.7337598425196851,14735
0.86,0.04972802102565767,2931,410671.03899999894,16243432.18199058,0.7212106299212598,13604
0.87,0.053198527991771695,2875,397865.01199999865,16243432.18199058,0.7074311023622047,12479
0.88,0.05730413138866427,2830,388646.0319999985,16243432.18199058,0.6963582677165354,11343
0.89,0.06205804258584974,2760,371765.3559999984,16243432.18199058,0.6791338582677166,10232
0.9,0.06751535683870316,2694,358545.73199999775,16243432.18199058,0.6628937007874016,9117
0.91,0.0743312181532383,2620,342794.90399999724,16243432.18199058,0.6446850393700787,8010
0.92,0.08260948121547701,2538,326607.7059999978,16243432.18199058,0.624507874015748,6911
0.93,0.09299870237708104,2450,310279.1449999979,16243432.18199058,0.6028543307086615,5818
0.94,0.10719405978918069,2329,288460.63199999824,16243432.18199058,0.5730807086614174,4758
0.95,0.12630243971943847,2187,261934.80899999812,16243432.18199058,0.5381397637795275,3719
0.96,0.15495654940605166,2026,230957.84699999864,16243432.18199058,0.4985236220472441,2699
0.97,0.20348814606666554,1809,199629.52899999934,16243432.18199058,0.4451279527559055,1735
0.98,0.3115578705072403,1509,159940.41500000007,16243432.18199058,0.37130905511811024,854
0.99,0.592863309979437,944,81726.52500000024,16243432.18199058,0.23228346456692914,238
